idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 72 174 72 174 0.000000 0.000000
1 0.020000000 72 174 174 152 102.000000 -22.000000
2 0.030000000 174 152 70 176 -104.000000 24.000000
3 0.040000000 70 176 176 88 106.000000 -88.000000
4 0.050000000 176 88 73 176 -103.000000 88.000000
5 0.060000000 73 176 152 137 79.000000 -39.000000
6 0.070000000 152 137 71 181 -81.000000 44.000000
7 0.080000000 71 181 148 137 77.000000 -44.000000
8 0.090000000 148 137 69 178 -79.000000 41.000000
9 0.100000000 69 178 67 177 -2.000000 -1.000000
10 0.110000000 67 177 65 182 -2.000000 5.000000
11 0.120000000 65 182 143 168 78.000000 -14.000000
12 0.130000000 143 168 167 158 24.000000 -10.000000
13 0.140000000 167 158 61 178 -106.000000 20.000000
14 0.150000000 61 178 101 184 40.000000 6.000000
15 0.160000000 101 184 111 102 10.000000 -82.000000
16 0.170000000 111 102 58 178 -53.000000 76.000000
17 0.180000000 58 178 61 178 3.000000 0.000000
18 0.190000000 61 178 56 142 -5.000000 -36.000000
19 0.200000000 56 142 93 163 37.000000 21.000000
20 0.210000000 93 163 138 136 45.000000 -27.000000
21 0.220000000 138 136 99 179 -39.000000 43.000000
22 0.230000000 99 179 61 183 -38.000000 4.000000
23 0.240000000 61 183 71 93 10.000000 -90.000000
24 0.250000000 71 93 51 183 -20.000000 90.000000
25 0.260000000 51 183 134 175 83.000000 -8.000000
26 0.270000000 134 175 52 176 -82.000000 1.000000
27 0.280000000 52 176 54 186 2.000000 10.000000
28 0.290000000 54 186 55 175 1.000000 -11.000000
29 0.300000000 55 175 26 89 -29.000000 -86.000000
30 0.310000000 26 89 135 171 109.000000 82.000000
31 0.320000000 135 171 51 173 -84.000000 2.000000
32 0.330000000 51 173 56 182 5.000000 9.000000
33 0.340000000 56 182 91 120 35.000000 -62.000000
34 0.350000000 91 120 160 157 69.000000 37.000000
35 0.360000000 160 157 57 182 -103.000000 25.000000
36 0.370000000 57 182 137 136 80.000000 -46.000000
37 0.380000000 137 136 134 133 -3.000000 -3.000000
38 0.390000000 134 133 97 118 -37.000000 -15.000000
39 0.400000000 97 118 56 107 -41.000000 -11.000000
40 0.410000000 56 107 160 136 104.000000 29.000000
41 0.420000000 160 136 52 174 -108.000000 38.000000
42 0.430000000 52 174 133 133 81.000000 -41.000000
43 0.440000000 133 133 48 141 -85.000000 8.000000
44 0.450000000 48 141 53 167 5.000000 26.000000
45 0.460000000 53 167 26 95 -27.000000 -72.000000
46 0.470000000 26 95 51 164 25.000000 69.000000
47 0.480000000 51 164 130 164 79.000000 0.000000
48 0.490000000 130 164 127 164 -3.000000 0.000000
49 0.500000000 127 164 126 126 -1.000000 -38.000000
50 0.510000000 126 126 73 169 -53.000000 43.000000
