idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 151 130 151 130 0.000000 0.000000
1 0.020000000 151 130 86 108 -65.000000 -22.000000
2 0.030000000 86 108 68 170 -18.000000 62.000000
3 0.040000000 68 170 177 88 109.000000 -82.000000
4 0.050000000 177 88 72 176 -105.000000 88.000000
5 0.060000000 72 176 70 175 -2.000000 -1.000000
6 0.070000000 70 175 139 105 69.000000 -70.000000
7 0.080000000 139 105 43 100 -96.000000 -5.000000
8 0.090000000 43 100 150 136 107.000000 36.000000
9 0.100000000 150 136 68 177 -82.000000 41.000000
10 0.110000000 68 177 146 107 78.000000 -70.000000
11 0.120000000 146 107 34 91 -112.000000 -16.000000
12 0.130000000 34 91 168 156 134.000000 65.000000
13 0.140000000 168 156 60 177 -108.000000 21.000000
14 0.150000000 60 177 151 107 91.000000 -70.000000
15 0.160000000 151 107 92 155 -59.000000 48.000000
16 0.170000000 92 155 58 178 -34.000000 23.000000
17 0.180000000 58 178 59 176 1.000000 -2.000000
18 0.190000000 59 176 59 168 0.000000 -8.000000
19 0.200000000 59 168 60 105 1.000000 -63.000000
20 0.210000000 60 105 160 111 100.000000 6.000000
21 0.220000000 160 111 137 136 -23.000000 25.000000
22 0.230000000 137 136 62 184 -75.000000 48.000000
23 0.240000000 62 184 90 163 28.000000 -21.000000
24 0.250000000 90 163 133 174 43.000000 11.000000
25 0.260000000 133 174 52 184 -81.000000 10.000000
26 0.270000000 52 184 136 175 84.000000 -9.000000
27 0.280000000 136 175 54 184 -82.000000 9.000000
28 0.290000000 54 184 76 117 22.000000 -67.000000
29 0.300000000 76 117 27 88 -49.000000 -29.000000
30 0.310000000 27 88 94 123 67.000000 35.000000
31 0.320000000 94 123 52 175 -42.000000 52.000000
32 0.330000000 52 175 52 172 0.000000 -3.000000
33 0.340000000 52 172 54 178 2.000000 6.000000
34 0.350000000 54 178 54 176 0.000000 -2.000000
35 0.360000000 54 176 55 172 1.000000 -4.000000
36 0.370000000 55 172 137 136 82.000000 -36.000000
37 0.380000000 137 136 134 132 -3.000000 -4.000000
38 0.390000000 134 132 99 176 -35.000000 44.000000
39 0.400000000 99 176 67 169 -32.000000 -7.000000
40 0.410000000 67 169 51 178 -16.000000 9.000000
41 0.420000000 51 178 52 172 1.000000 -6.000000
42 0.430000000 52 172 51 172 -1.000000 0.000000
43 0.440000000 51 172 49 141 -2.000000 -31.000000
44 0.450000000 49 141 52 170 3.000000 29.000000
45 0.460000000 52 170 48 134 -4.000000 -36.000000
46 0.470000000 48 134 51 166 3.000000 32.000000
47 0.480000000 51 166 17 83 -34.000000 -83.000000
48 0.490000000 17 83 126 159 109.000000 76.000000
49 0.500000000 126 159 14 88 -112.000000 -71.000000
50 0.510000000 14 88 73 169 59.000000 81.000000
