idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 102 113 102 113 0.000000 0.000000
1 0.020000000 102 113 87 107 -15.000000 -6.000000
2 0.030000000 87 107 68 170 -19.000000 63.000000
3 0.040000000 68 170 176 88 108.000000 -82.000000
4 0.050000000 176 88 155 137 -21.000000 49.000000
5 0.060000000 155 137 154 174 -1.000000 37.000000
6 0.070000000 154 174 118 99 -36.000000 -75.000000
7 0.080000000 118 99 39 89 -79.000000 -10.000000
8 0.090000000 39 89 89 113 50.000000 24.000000
9 0.100000000 89 113 66 175 -23.000000 62.000000
10 0.110000000 66 175 148 107 82.000000 -68.000000
11 0.120000000 148 107 158 92 10.000000 -15.000000
12 0.130000000 158 92 119 145 -39.000000 53.000000
13 0.140000000 119 145 60 176 -59.000000 31.000000
14 0.150000000 60 176 164 114 104.000000 -62.000000
15 0.160000000 164 114 151 137 -13.000000 23.000000
16 0.170000000 151 137 56 179 -95.000000 42.000000
17 0.180000000 56 179 140 170 84.000000 -9.000000
18 0.190000000 140 170 57 143 -83.000000 -27.000000
19 0.200000000 57 143 59 107 2.000000 -36.000000
20 0.210000000 59 107 59 105 0.000000 -2.000000
21 0.220000000 59 105 137 137 78.000000 32.000000
22 0.230000000 137 137 62 184 -75.000000 47.000000
23 0.240000000 62 184 165 144 103.000000 -40.000000
24 0.250000000 165 144 132 140 -33.000000 -4.000000
25 0.260000000 132 140 95 189 -37.000000 49.000000
26 0.270000000 95 189 159 162 64.000000 -27.000000
27 0.280000000 159 162 53 182 -106.000000 20.000000
28 0.290000000 53 182 160 108 107.000000 -74.000000
29 0.300000000 160 108 30 88 -130.000000 -20.000000
30 0.310000000 30 88 95 121 65.000000 33.000000
31 0.320000000 95 121 51 178 -44.000000 57.000000
32 0.330000000 51 178 75 167 24.000000 -11.000000
33 0.340000000 75 167 54 179 -21.000000 12.000000
34 0.350000000 54 179 53 175 -1.000000 -4.000000
35 0.360000000 53 175 49 143 -4.000000 -32.000000
36 0.370000000 49 143 139 136 90.000000 -7.000000
37 0.380000000 139 136 133 131 -6.000000 -5.000000
38 0.390000000 133 131 55 177 -78.000000 46.000000
39 0.400000000 55 177 159 152 104.000000 -25.000000
40 0.410000000 159 152 52 178 -107.000000 26.000000
41 0.420000000 52 178 53 169 1.000000 -9.000000
42 0.430000000 53 169 52 172 -1.000000 3.000000
43 0.440000000 52 172 113 141 61.000000 -31.000000
44 0.450000000 113 141 53 169 -60.000000 28.000000
45 0.460000000 53 169 29 118 -24.000000 -51.000000
46 0.470000000 29 118 50 164 21.000000 46.000000
47 0.480000000 50 164 19 84 -31.000000 -80.000000
48 0.490000000 19 84 46 100 27.000000 16.000000
49 0.500000000 46 100 14 78 -32.000000 -22.000000
50 0.510000000 14 78 74 169 60.000000 91.000000
