idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 168 84 168 84 0.000000 0.000000
1 0.020000000 168 84 188 99 20.000000 15.000000
2 0.030000000 188 99 151 169 -37.000000 70.000000
3 0.040000000 151 169 154 136 3.000000 -33.000000
4 0.050000000 154 136 82 85 -72.000000 -51.000000
5 0.060000000 82 85 153 136 71.000000 51.000000
6 0.070000000 153 136 189 126 36.000000 -10.000000
7 0.080000000 189 126 216 98 27.000000 -28.000000
8 0.090000000 216 98 105 158 -111.000000 60.000000
9 0.100000000 105 158 51 97 -54.000000 -61.000000
10 0.110000000 51 97 121 103 70.000000 6.000000
11 0.120000000 121 103 84 139 -37.000000 36.000000
12 0.130000000 84 139 142 138 58.000000 -1.000000
13 0.140000000 142 138 143 167 1.000000 29.000000
14 0.150000000 143 167 138 159 -5.000000 -8.000000
15 0.160000000 138 159 199 187 61.000000 28.000000
16 0.170000000 199 187 43 97 -156.000000 -90.000000
17 0.180000000 43 97 60 154 17.000000 57.000000
18 0.190000000 60 154 60 177 0.000000 23.000000
19 0.200000000 60 177 80 117 20.000000 -60.000000
20 0.210000000 80 117 108 3 28.000000 -114.000000
21 0.220000000 108 3 78 204 -30.000000 201.000000
22 0.230000000 78 204 168 116 90.000000 -88.000000
23 0.240000000 168 116 105 103 -63.000000 -13.000000
24 0.250000000 105 103 55 187 -50.000000 84.000000
25 0.260000000 55 187 87 170 32.000000 -17.000000
26 0.270000000 87 170 122 144 35.000000 -26.000000
27 0.280000000 122 144 53 181 -69.000000 37.000000
28 0.290000000 53 181 36 57 -17.000000 -124.000000
29 0.300000000 36 57 164 152 128.000000 95.000000
30 0.310000000 164 152 92 125 -72.000000 -27.000000
31 0.320000000 92 125 158 93 66.000000 -32.000000
32 0.330000000 158 93 88 158 -70.000000 65.000000
33 0.340000000 88 158 80 193 -8.000000 35.000000
34 0.350000000 80 193 55 115 -25.000000 -78.000000
35 0.360000000 55 115 161 156 106.000000 41.000000
36 0.370000000 161 156 105 111 -56.000000 -45.000000
37 0.380000000 105 111 149 145 44.000000 34.000000
38 0.390000000 149 145 244 158 95.000000 13.000000
39 0.400000000 244 158 53 107 -191.000000 -51.000000
40 0.410000000 53 107 52 176 -1.000000 69.000000
41 0.420000000 52 176 75 164 23.000000 -12.000000
42 0.430000000 75 164 158 154 83.000000 -10.000000
43 0.440000000 158 154 57 180 -101.000000 26.000000
44 0.450000000 57 180 46 136 -11.000000 -44.000000
45 0.460000000 46 136 55 174 9.000000 38.000000
46 0.470000000 55 174 80 176 25.000000 2.000000
47 0.480000000 80 176 21 82 -59.000000 -94.000000
48 0.490000000 21 82 43 169 22.000000 87.000000
49 0.500000000 43 169 64 112 21.000000 -57.000000
50 0.510000000 64 112 164 146 100.000000 34.000000
