idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 138 132 138 132 0.000000 0.000000
1 0.020000000 138 132 77 232 -61.000000 100.000000
2 0.030000000 77 232 108 72 31.000000 -160.000000
3 0.040000000 108 72 68 229 -40.000000 157.000000
4 0.050000000 68 229 123 100 55.000000 -129.000000
5 0.060000000 123 100 192 121 69.000000 21.000000
6 0.070000000 192 121 39 184 -153.000000 63.000000
7 0.080000000 39 184 73 120 34.000000 -64.000000
8 0.090000000 73 120 151 139 78.000000 19.000000
9 0.100000000 151 139 231 11 80.000000 -128.000000
10 0.110000000 231 11 145 165 -86.000000 154.000000
11 0.120000000 145 165 135 139 -10.000000 -26.000000
12 0.130000000 135 139 166 111 31.000000 -28.000000
13 0.140000000 166 111 62 183 -104.000000 72.000000
14 0.150000000 62 183 149 104 87.000000 -79.000000
15 0.160000000 149 104 206 117 57.000000 13.000000
16 0.170000000 206 117 193 73 -13.000000 -44.000000
17 0.180000000 193 73 161 114 -32.000000 41.000000
18 0.190000000 161 114 200 81 39.000000 -33.000000
19 0.200000000 200 81 26 100 -174.000000 19.000000
20 0.210000000 26 100 200 165 174.000000 65.000000
21 0.220000000 200 165 112 101 -88.000000 -64.000000
22 0.230000000 112 101 233 130 121.000000 29.000000
23 0.240000000 233 130 225 244 -8.000000 114.000000
24 0.250000000 225 244 87 238 -138.000000 -6.000000
25 0.260000000 87 238 47 177 -40.000000 -61.000000
26 0.270000000 47 177 160 144 113.000000 -33.000000
27 0.280000000 160 144 123 102 -37.000000 -42.000000
28 0.290000000 123 102 225 77 102.000000 -25.000000
29 0.300000000 225 77 58 240 -167.000000 163.000000
30 0.310000000 58 240 132 139 74.000000 -101.000000
31 0.320000000 132 139 45 54 -87.000000 -85.000000
32 0.330000000 45 54 180 152 135.000000 98.000000
33 0.340000000 180 152 110 178 -70.000000 26.000000
34 0.350000000 110 178 159 157 49.000000 -21.000000
35 0.360000000 159 157 165 218 6.000000 61.000000
36 0.370000000 165 218 55 20 -110.000000 -198.000000
37 0.380000000 55 20 149 126 94.000000 106.000000
38 0.390000000 149 126 95 121 -54.000000 -5.000000
39 0.400000000 95 121 208 28 113.000000 -93.000000
40 0.410000000 208 28 85 153 -123.000000 125.000000
41 0.420000000 85 153 80 192 -5.000000 39.000000
42 0.430000000 80 192 149 144 69.000000 -48.000000
43 0.440000000 149 144 48 95 -101.000000 -49.000000
44 0.450000000 48 95 93 192 45.000000 97.000000
45 0.460000000 93 192 244 133 151.000000 -59.000000
46 0.470000000 244 133 14 133 -230.000000 0.000000
47 0.480000000 14 133 45 165 31.000000 32.000000
48 0.490000000 45 165 87 61 42.000000 -104.000000
49 0.500000000 87 61 51 175 -36.000000 114.000000
50 0.510000000 51 175 125 173 74.000000 -2.000000
