idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 90 106 90 106 0.000000 0.000000
1 0.020000000 90 106 87 108 -3.000000 2.000000
2 0.030000000 87 108 151 169 64.000000 61.000000
3 0.040000000 151 169 153 135 2.000000 -34.000000
4 0.050000000 153 135 94 111 -59.000000 -24.000000
5 0.060000000 94 111 70 171 -24.000000 60.000000
6 0.070000000 70 171 71 180 1.000000 9.000000
7 0.080000000 71 180 150 138 79.000000 -42.000000
8 0.090000000 150 138 175 156 25.000000 18.000000
9 0.100000000 175 156 103 163 -72.000000 7.000000
10 0.110000000 103 163 122 103 19.000000 -60.000000
11 0.120000000 122 103 144 171 22.000000 68.000000
12 0.130000000 144 171 61 173 -83.000000 2.000000
13 0.140000000 61 173 60 177 -1.000000 4.000000
14 0.150000000 60 177 138 171 78.000000 -6.000000
15 0.160000000 138 171 57 182 -81.000000 11.000000
16 0.170000000 57 182 140 104 83.000000 -78.000000
17 0.180000000 140 104 59 177 -81.000000 73.000000
18 0.190000000 59 177 88 194 29.000000 17.000000
19 0.200000000 88 194 90 118 2.000000 -76.000000
20 0.210000000 90 118 55 82 -35.000000 -36.000000
21 0.220000000 55 82 56 179 1.000000 97.000000
22 0.230000000 56 179 141 174 85.000000 -5.000000
23 0.240000000 141 174 101 102 -40.000000 -72.000000
24 0.250000000 101 102 53 186 -48.000000 84.000000
25 0.260000000 53 186 51 176 -2.000000 -10.000000
26 0.270000000 51 176 52 176 1.000000 0.000000
27 0.280000000 52 176 54 184 2.000000 8.000000
28 0.290000000 54 184 76 116 22.000000 -68.000000
29 0.300000000 76 116 131 108 55.000000 -8.000000
30 0.310000000 131 108 149 139 18.000000 31.000000
31 0.320000000 149 139 133 137 -16.000000 -2.000000
32 0.330000000 133 137 88 160 -45.000000 23.000000
33 0.340000000 88 160 55 179 -33.000000 19.000000
34 0.350000000 55 179 90 164 35.000000 -15.000000
35 0.360000000 90 164 57 180 -33.000000 16.000000
36 0.370000000 57 180 136 135 79.000000 -45.000000
37 0.380000000 136 135 135 133 -1.000000 -2.000000
38 0.390000000 135 133 137 135 2.000000 2.000000
39 0.400000000 137 135 54 105 -83.000000 -30.000000
40 0.410000000 54 105 135 136 81.000000 31.000000
41 0.420000000 135 136 52 173 -83.000000 37.000000
42 0.430000000 52 173 52 169 0.000000 -4.000000
43 0.440000000 52 169 56 180 4.000000 11.000000
44 0.450000000 56 180 53 169 -3.000000 -11.000000
45 0.460000000 53 169 55 177 2.000000 8.000000
46 0.470000000 55 177 52 167 -3.000000 -10.000000
47 0.480000000 52 167 19 82 -33.000000 -85.000000
48 0.490000000 19 82 127 163 108.000000 81.000000
49 0.500000000 127 163 124 127 -3.000000 -36.000000
50 0.510000000 124 127 73 169 -51.000000 42.000000
