idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 175 214 175 214 0.000000 0.000000
1 0.020000000 175 214 149 130 -26.000000 -84.000000
2 0.030000000 149 130 244 238 95.000000 108.000000
3 0.040000000 244 238 49 61 -195.000000 -177.000000
4 0.050000000 49 61 141 140 92.000000 79.000000
5 0.060000000 141 140 110 120 -31.000000 -20.000000
6 0.070000000 110 120 71 178 -39.000000 58.000000
7 0.080000000 71 178 77 91 6.000000 -87.000000
8 0.090000000 77 91 25 187 -52.000000 96.000000
9 0.100000000 25 187 72 146 47.000000 -41.000000
10 0.110000000 72 146 108 187 36.000000 41.000000
11 0.120000000 108 187 64 130 -44.000000 -57.000000
12 0.130000000 64 130 138 128 74.000000 -2.000000
13 0.140000000 138 128 188 180 50.000000 52.000000
14 0.150000000 188 180 154 243 -34.000000 63.000000
15 0.160000000 154 243 60 107 -94.000000 -136.000000
16 0.170000000 60 107 72 230 12.000000 123.000000
17 0.180000000 72 230 215 205 143.000000 -25.000000
18 0.190000000 215 205 160 85 -55.000000 -120.000000
19 0.200000000 160 85 60 151 -100.000000 66.000000
20 0.210000000 60 151 137 151 77.000000 0.000000
21 0.220000000 137 151 210 213 73.000000 62.000000
22 0.230000000 210 213 61 160 -149.000000 -53.000000
23 0.240000000 61 160 63 89 2.000000 -71.000000
24 0.250000000 63 89 41 141 -22.000000 52.000000
25 0.260000000 41 141 46 145 5.000000 4.000000
26 0.270000000 46 145 46 142 0.000000 -3.000000
27 0.280000000 46 142 52 230 6.000000 88.000000
28 0.290000000 52 230 46 119 -6.000000 -111.000000
29 0.300000000 46 119 92 98 46.000000 -21.000000
30 0.310000000 92 98 139 141 47.000000 43.000000
31 0.320000000 139 141 211 157 72.000000 16.000000
32 0.330000000 211 157 227 212 16.000000 55.000000
33 0.340000000 227 212 54 146 -173.000000 -66.000000
34 0.350000000 54 146 75 110 21.000000 -36.000000
35 0.360000000 75 110 203 212 128.000000 102.000000
36 0.370000000 203 212 136 134 -67.000000 -78.000000
37 0.380000000 136 134 44 143 -92.000000 9.000000
38 0.390000000 44 143 60 125 16.000000 -18.000000
39 0.400000000 60 125 24 98 -36.000000 -27.000000
40 0.410000000 24 98 86 157 62.000000 59.000000
41 0.420000000 86 157 88 173 2.000000 16.000000
42 0.430000000 88 173 148 91 60.000000 -82.000000
43 0.440000000 148 91 137 133 -11.000000 42.000000
44 0.450000000 137 133 16 117 -121.000000 -16.000000
45 0.460000000 16 117 154 85 138.000000 -32.000000
46 0.470000000 154 85 102 93 -52.000000 8.000000
47 0.480000000 102 93 226 231 124.000000 138.000000
48 0.490000000 226 231 83 195 -143.000000 -36.000000
49 0.500000000 83 195 73 110 -10.000000 -85.000000
50 0.510000000 73 110 155 186 82.000000 76.000000
