idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 115 178 115 178 0.000000 0.000000
1 0.020000000 115 178 155 130 40.000000 -48.000000
2 0.030000000 155 130 99 194 -56.000000 64.000000
3 0.040000000 99 194 176 87 77.000000 -107.000000
4 0.050000000 176 87 63 136 -113.000000 49.000000
5 0.060000000 63 136 152 135 89.000000 -1.000000
6 0.070000000 152 135 180 177 28.000000 42.000000
7 0.080000000 180 177 39 102 -141.000000 -75.000000
8 0.090000000 39 102 70 177 31.000000 75.000000
9 0.100000000 70 177 172 157 102.000000 -20.000000
10 0.110000000 172 157 104 177 -68.000000 20.000000
11 0.120000000 104 177 151 137 47.000000 -40.000000
12 0.130000000 151 137 142 139 -9.000000 2.000000
13 0.140000000 142 139 61 179 -81.000000 40.000000
14 0.150000000 61 179 75 207 14.000000 28.000000
15 0.160000000 75 207 122 105 47.000000 -102.000000
16 0.170000000 122 105 46 187 -76.000000 82.000000
17 0.180000000 46 187 62 181 16.000000 -6.000000
18 0.190000000 62 181 92 117 30.000000 -64.000000
19 0.200000000 92 117 60 153 -32.000000 36.000000
20 0.210000000 60 153 45 139 -15.000000 -14.000000
21 0.220000000 45 139 177 185 132.000000 46.000000
22 0.230000000 177 185 141 170 -36.000000 -15.000000
23 0.240000000 141 170 158 93 17.000000 -77.000000
24 0.250000000 158 93 104 150 -54.000000 57.000000
25 0.260000000 104 150 86 159 -18.000000 9.000000
26 0.270000000 86 159 136 154 50.000000 -5.000000
27 0.280000000 136 154 78 199 -58.000000 45.000000
28 0.290000000 78 199 94 126 16.000000 -73.000000
29 0.300000000 94 126 148 101 54.000000 -25.000000
30 0.310000000 148 101 53 148 -95.000000 47.000000
31 0.320000000 53 148 86 161 33.000000 13.000000
32 0.330000000 86 161 92 193 6.000000 32.000000
33 0.340000000 92 193 55 147 -37.000000 -46.000000
34 0.350000000 55 147 93 121 38.000000 -26.000000
35 0.360000000 93 121 94 194 1.000000 73.000000
36 0.370000000 94 194 163 135 69.000000 -59.000000
37 0.380000000 163 135 162 134 -1.000000 -1.000000
38 0.390000000 162 134 136 133 -26.000000 -1.000000
39 0.400000000 136 133 56 108 -80.000000 -25.000000
40 0.410000000 56 108 86 155 30.000000 47.000000
41 0.420000000 86 155 53 172 -33.000000 17.000000
42 0.430000000 53 172 52 104 -1.000000 -68.000000
43 0.440000000 52 104 51 140 -1.000000 36.000000
44 0.450000000 51 140 30 124 -21.000000 -16.000000
45 0.460000000 30 124 38 95 8.000000 -29.000000
46 0.470000000 38 95 70 106 32.000000 11.000000
47 0.480000000 70 106 87 182 17.000000 76.000000
48 0.490000000 87 182 80 169 -7.000000 -13.000000
49 0.500000000 80 169 62 112 -18.000000 -57.000000
50 0.510000000 62 112 73 170 11.000000 58.000000
