idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 62 227 62 227 0.000000 0.000000
1 0.020000000 62 227 148 130 86.000000 -97.000000
2 0.030000000 148 130 16 244 -132.000000 114.000000
3 0.040000000 16 244 21 42 5.000000 -202.000000
4 0.050000000 21 42 128 143 107.000000 101.000000
5 0.060000000 128 143 74 117 -54.000000 -26.000000
6 0.070000000 74 117 99 180 25.000000 63.000000
7 0.080000000 99 180 172 85 73.000000 -95.000000
8 0.090000000 172 85 195 197 23.000000 112.000000
9 0.100000000 195 197 112 143 -83.000000 -54.000000
10 0.110000000 112 143 97 202 -15.000000 59.000000
11 0.120000000 97 202 113 128 16.000000 -74.000000
12 0.130000000 113 128 74 125 -39.000000 -3.000000
13 0.140000000 74 125 63 183 -11.000000 58.000000
14 0.150000000 63 183 140 247 77.000000 64.000000
15 0.160000000 140 247 39 107 -101.000000 -140.000000
16 0.170000000 39 107 231 238 192.000000 131.000000
17 0.180000000 231 238 174 220 -57.000000 -18.000000
18 0.190000000 174 220 134 73 -40.000000 -147.000000
19 0.200000000 134 73 58 151 -76.000000 78.000000
20 0.210000000 58 151 58 156 0.000000 5.000000
21 0.220000000 58 156 220 226 162.000000 70.000000
22 0.230000000 220 226 160 160 -60.000000 -66.000000
23 0.240000000 160 160 254 76 94.000000 -84.000000
24 0.250000000 254 76 83 138 -171.000000 62.000000
25 0.260000000 83 138 134 140 51.000000 2.000000
26 0.270000000 134 140 27 140 -107.000000 0.000000
27 0.280000000 27 140 17 237 -10.000000 97.000000
28 0.290000000 17 237 76 114 59.000000 -123.000000
29 0.300000000 76 114 152 91 76.000000 -23.000000
30 0.310000000 152 91 159 139 7.000000 48.000000
31 0.320000000 159 139 244 157 85.000000 18.000000
32 0.330000000 244 157 228 225 -16.000000 68.000000
33 0.340000000 228 225 55 146 -173.000000 -79.000000
34 0.350000000 55 146 150 101 95.000000 -45.000000
35 0.360000000 150 101 72 224 -78.000000 123.000000
36 0.370000000 72 224 135 132 63.000000 -92.000000
37 0.380000000 135 132 92 148 -43.000000 16.000000
38 0.390000000 92 148 48 124 -44.000000 -24.000000
39 0.400000000 48 124 242 89 194.000000 -35.000000
40 0.410000000 242 89 70 161 -172.000000 72.000000
41 0.420000000 70 161 121 175 51.000000 14.000000
42 0.430000000 121 175 62 84 -59.000000 -91.000000
43 0.440000000 62 84 64 126 2.000000 42.000000
44 0.450000000 64 126 127 111 63.000000 -15.000000
45 0.460000000 127 111 175 73 48.000000 -38.000000
46 0.470000000 175 73 20 85 -155.000000 12.000000
47 0.480000000 20 85 121 238 101.000000 153.000000
48 0.490000000 121 238 253 207 132.000000 -31.000000
49 0.500000000 253 207 79 108 -174.000000 -99.000000
50 0.510000000 79 108 252 187 173.000000 79.000000
