idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 165 95 165 95 0.000000 0.000000
1 0.020000000 165 95 152 102 -13.000000 7.000000
2 0.030000000 152 102 67 170 -85.000000 68.000000
3 0.040000000 67 170 179 136 112.000000 -34.000000
4 0.050000000 179 136 102 93 -77.000000 -43.000000
5 0.060000000 102 93 75 155 -27.000000 62.000000
6 0.070000000 75 155 108 153 33.000000 -2.000000
7 0.080000000 108 153 87 112 -21.000000 -41.000000
8 0.090000000 87 112 175 157 88.000000 45.000000
9 0.100000000 175 157 69 109 -106.000000 -48.000000
10 0.110000000 69 109 50 100 -19.000000 -9.000000
11 0.120000000 50 100 98 154 48.000000 54.000000
12 0.130000000 98 154 169 148 71.000000 -6.000000
13 0.140000000 169 148 60 176 -109.000000 28.000000
14 0.150000000 60 176 138 169 78.000000 -7.000000
15 0.160000000 138 169 57 182 -81.000000 13.000000
16 0.170000000 57 182 41 96 -16.000000 -86.000000
17 0.180000000 41 96 101 173 60.000000 77.000000
18 0.190000000 101 173 64 181 -37.000000 8.000000
19 0.200000000 64 181 94 117 30.000000 -64.000000
20 0.210000000 94 117 46 81 -48.000000 -36.000000
21 0.220000000 46 81 99 186 53.000000 105.000000
22 0.230000000 99 186 140 138 41.000000 -48.000000
23 0.240000000 140 138 91 100 -49.000000 -38.000000
24 0.250000000 91 100 53 186 -38.000000 86.000000
25 0.260000000 53 186 51 176 -2.000000 -10.000000
26 0.270000000 51 176 52 175 1.000000 -1.000000
27 0.280000000 52 175 54 184 2.000000 9.000000
28 0.290000000 54 184 30 103 -24.000000 -81.000000
29 0.300000000 30 103 108 147 78.000000 44.000000
30 0.310000000 108 147 134 138 26.000000 -9.000000
31 0.320000000 134 138 53 107 -81.000000 -31.000000
32 0.330000000 53 107 54 169 1.000000 62.000000
33 0.340000000 54 169 56 181 2.000000 12.000000
34 0.350000000 56 181 90 122 34.000000 -59.000000
35 0.360000000 90 122 55 180 -35.000000 58.000000
36 0.370000000 55 180 96 121 41.000000 -59.000000
37 0.380000000 96 121 136 135 40.000000 14.000000
38 0.390000000 136 135 90 159 -46.000000 24.000000
39 0.400000000 90 159 53 110 -37.000000 -49.000000
40 0.410000000 53 110 50 176 -3.000000 66.000000
41 0.420000000 50 176 52 172 2.000000 -4.000000
42 0.430000000 52 172 51 169 -1.000000 -3.000000
43 0.440000000 51 169 57 180 6.000000 11.000000
44 0.450000000 57 180 67 166 10.000000 -14.000000
45 0.460000000 67 166 56 176 -11.000000 10.000000
46 0.470000000 56 176 87 170 31.000000 -6.000000
47 0.480000000 87 170 19 82 -68.000000 -88.000000
48 0.490000000 19 82 127 164 108.000000 82.000000
49 0.500000000 127 164 124 126 -3.000000 -38.000000
50 0.510000000 124 126 73 169 -51.000000 43.000000
