idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 106 115 106 115 0.000000 0.000000
1 0.020000000 106 115 88 107 -18.000000 -8.000000
2 0.030000000 88 107 68 170 -20.000000 63.000000
3 0.040000000 68 170 176 88 108.000000 -82.000000
4 0.050000000 176 88 73 171 -103.000000 83.000000
5 0.060000000 73 171 70 175 -3.000000 4.000000
6 0.070000000 70 175 56 100 -14.000000 -75.000000
7 0.080000000 56 100 39 91 -17.000000 -9.000000
8 0.090000000 39 91 108 121 69.000000 30.000000
9 0.100000000 108 121 67 177 -41.000000 56.000000
10 0.110000000 67 177 144 107 77.000000 -70.000000
11 0.120000000 144 107 160 91 16.000000 -16.000000
12 0.130000000 160 91 117 147 -43.000000 56.000000
13 0.140000000 117 147 60 177 -57.000000 30.000000
14 0.150000000 60 177 76 113 16.000000 -64.000000
15 0.160000000 76 113 138 138 62.000000 25.000000
16 0.170000000 138 138 58 178 -80.000000 40.000000
17 0.180000000 58 178 59 174 1.000000 -4.000000
18 0.190000000 59 174 57 144 -2.000000 -30.000000
19 0.200000000 57 144 60 106 3.000000 -38.000000
20 0.210000000 60 106 161 105 101.000000 -1.000000
21 0.220000000 161 105 139 136 -22.000000 31.000000
22 0.230000000 139 136 62 184 -77.000000 48.000000
23 0.240000000 62 184 123 148 61.000000 -36.000000
24 0.250000000 123 148 93 156 -30.000000 8.000000
25 0.260000000 93 156 96 185 3.000000 29.000000
26 0.270000000 96 185 70 174 -26.000000 -11.000000
27 0.280000000 70 174 54 183 -16.000000 9.000000
28 0.290000000 54 183 76 115 22.000000 -68.000000
29 0.300000000 76 115 28 88 -48.000000 -27.000000
30 0.310000000 28 88 74 123 46.000000 35.000000
31 0.320000000 74 123 51 176 -23.000000 53.000000
32 0.330000000 51 176 53 171 2.000000 -5.000000
33 0.340000000 53 171 53 179 0.000000 8.000000
34 0.350000000 53 179 55 175 2.000000 -4.000000
35 0.360000000 55 175 55 145 0.000000 -30.000000
36 0.370000000 55 145 138 136 83.000000 -9.000000
37 0.380000000 138 136 163 131 25.000000 -5.000000
38 0.390000000 163 131 55 177 -108.000000 46.000000
39 0.400000000 55 177 87 159 32.000000 -18.000000
40 0.410000000 87 159 52 178 -35.000000 19.000000
41 0.420000000 52 178 52 171 0.000000 -7.000000
42 0.430000000 52 171 51 172 -1.000000 1.000000
43 0.440000000 51 172 51 141 0.000000 -31.000000
44 0.450000000 51 141 54 169 3.000000 28.000000
45 0.460000000 54 169 57 120 3.000000 -49.000000
46 0.470000000 57 120 52 165 -5.000000 45.000000
47 0.480000000 52 165 19 83 -33.000000 -82.000000
48 0.490000000 19 83 81 114 62.000000 31.000000
49 0.500000000 81 114 65 82 -16.000000 -32.000000
50 0.510000000 65 82 73 169 8.000000 87.000000
