idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 60 109 60 109 0.000000 0.000000
1 0.020000000 60 109 172 106 112.000000 -3.000000
2 0.030000000 172 106 67 170 -105.000000 64.000000
3 0.040000000 67 170 96 88 29.000000 -82.000000
4 0.050000000 96 88 179 135 83.000000 47.000000
5 0.060000000 179 135 70 174 -109.000000 39.000000
6 0.070000000 70 174 45 99 -25.000000 -75.000000
7 0.080000000 45 99 44 87 -1.000000 -12.000000
8 0.090000000 44 87 72 112 28.000000 25.000000
9 0.100000000 72 112 67 172 -5.000000 60.000000
10 0.110000000 67 172 146 108 79.000000 -64.000000
11 0.120000000 146 108 159 92 13.000000 -16.000000
12 0.130000000 159 92 142 140 -17.000000 48.000000
13 0.140000000 142 140 60 175 -82.000000 35.000000
14 0.150000000 60 175 30 118 -30.000000 -57.000000
15 0.160000000 30 118 161 137 131.000000 19.000000
16 0.170000000 161 137 101 179 -60.000000 42.000000
17 0.180000000 101 179 58 167 -43.000000 -12.000000
18 0.190000000 58 167 58 142 0.000000 -25.000000
19 0.200000000 58 142 60 106 2.000000 -36.000000
20 0.210000000 60 106 138 104 78.000000 -2.000000
21 0.220000000 138 104 137 137 -1.000000 33.000000
22 0.230000000 137 137 62 184 -75.000000 47.000000
23 0.240000000 62 184 126 147 64.000000 -37.000000
24 0.250000000 126 147 84 127 -42.000000 -20.000000
25 0.260000000 84 127 94 191 10.000000 64.000000
26 0.270000000 94 191 89 155 -5.000000 -36.000000
27 0.280000000 89 155 54 177 -35.000000 22.000000
28 0.290000000 54 177 41 104 -13.000000 -73.000000
29 0.300000000 41 104 26 89 -15.000000 -15.000000
30 0.310000000 26 89 42 115 16.000000 26.000000
31 0.320000000 42 115 52 180 10.000000 65.000000
32 0.330000000 52 180 87 161 35.000000 -19.000000
33 0.340000000 87 161 54 179 -33.000000 18.000000
34 0.350000000 54 179 56 173 2.000000 -6.000000
35 0.360000000 56 173 49 139 -7.000000 -34.000000
36 0.370000000 49 139 141 136 92.000000 -3.000000
37 0.380000000 141 136 49 131 -92.000000 -5.000000
38 0.390000000 49 131 55 177 6.000000 46.000000
39 0.400000000 55 177 42 142 -13.000000 -35.000000
40 0.410000000 42 142 54 178 12.000000 36.000000
41 0.420000000 54 178 135 166 81.000000 -12.000000
42 0.430000000 135 166 52 172 -83.000000 6.000000
43 0.440000000 52 172 112 141 60.000000 -31.000000
44 0.450000000 112 141 52 169 -60.000000 28.000000
45 0.460000000 52 169 178 116 126.000000 -53.000000
46 0.470000000 178 116 56 149 -122.000000 33.000000
47 0.480000000 56 149 156 84 100.000000 -65.000000
48 0.490000000 156 84 13 94 -143.000000 10.000000
49 0.500000000 13 94 14 76 1.000000 -18.000000
50 0.510000000 14 76 74 169 60.000000 93.000000
