idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 109 143 109 143 0.000000 0.000000
1 0.020000000 109 143 70 176 -39.000000 33.000000
2 0.030000000 70 176 70 105 0.000000 -71.000000
3 0.040000000 70 105 72 178 2.000000 73.000000
4 0.050000000 72 178 156 105 84.000000 -73.000000
5 0.060000000 156 105 167 143 11.000000 38.000000
6 0.070000000 167 143 73 180 -94.000000 37.000000
7 0.080000000 73 180 150 139 77.000000 -41.000000
8 0.090000000 150 139 151 138 1.000000 -1.000000
9 0.100000000 151 138 41 97 -110.000000 -41.000000
10 0.110000000 41 97 144 135 103.000000 38.000000
11 0.120000000 144 135 111 151 -33.000000 16.000000
12 0.130000000 111 151 143 138 32.000000 -13.000000
13 0.140000000 143 138 60 179 -83.000000 41.000000
14 0.150000000 60 179 150 106 90.000000 -73.000000
15 0.160000000 150 106 74 112 -76.000000 6.000000
16 0.170000000 74 112 71 86 -3.000000 -26.000000
17 0.180000000 71 86 136 132 65.000000 46.000000
18 0.190000000 136 132 125 138 -11.000000 6.000000
19 0.200000000 125 138 91 117 -34.000000 -21.000000
20 0.210000000 91 117 164 137 73.000000 20.000000
21 0.220000000 164 137 162 112 -2.000000 -25.000000
22 0.230000000 162 112 164 159 2.000000 47.000000
23 0.240000000 164 159 53 184 -111.000000 25.000000
24 0.250000000 53 184 95 190 42.000000 6.000000
25 0.260000000 95 190 51 179 -44.000000 -11.000000
26 0.270000000 51 179 52 175 1.000000 -4.000000
27 0.280000000 52 175 135 139 83.000000 -36.000000
28 0.290000000 135 139 77 117 -58.000000 -22.000000
29 0.300000000 77 117 58 183 -19.000000 66.000000
30 0.310000000 58 183 86 164 28.000000 -19.000000
31 0.320000000 86 164 54 108 -32.000000 -56.000000
32 0.330000000 54 108 157 158 103.000000 50.000000
33 0.340000000 157 158 92 173 -65.000000 15.000000
34 0.350000000 92 173 55 174 -37.000000 1.000000
35 0.360000000 55 174 99 182 44.000000 8.000000
36 0.370000000 99 182 157 87 58.000000 -95.000000
37 0.380000000 157 87 174 116 17.000000 29.000000
38 0.390000000 174 116 98 120 -76.000000 4.000000
39 0.400000000 98 120 25 97 -73.000000 -23.000000
40 0.410000000 25 97 161 137 136.000000 40.000000
41 0.420000000 161 137 52 175 -109.000000 38.000000
42 0.430000000 52 175 55 150 3.000000 -25.000000
43 0.440000000 55 150 134 132 79.000000 -18.000000
44 0.450000000 134 132 53 171 -81.000000 39.000000
45 0.460000000 53 171 88 158 35.000000 -13.000000
46 0.470000000 88 158 51 165 -37.000000 7.000000
47 0.480000000 51 165 129 130 78.000000 -35.000000
48 0.490000000 129 130 156 124 27.000000 -6.000000
49 0.500000000 156 124 41 169 -115.000000 45.000000
50 0.510000000 41 169 73 169 32.000000 0.000000
