idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 168 135 168 135 0.000000 0.000000
1 0.020000000 168 135 111 183 -57.000000 48.000000
2 0.030000000 111 183 127 98 16.000000 -85.000000
3 0.040000000 127 98 101 184 -26.000000 86.000000
4 0.050000000 101 184 148 104 47.000000 -80.000000
5 0.060000000 148 104 176 136 28.000000 32.000000
6 0.070000000 176 136 71 179 -105.000000 43.000000
7 0.080000000 71 179 149 136 78.000000 -43.000000
8 0.090000000 149 136 176 138 27.000000 2.000000
9 0.100000000 176 138 217 72 41.000000 -66.000000
10 0.110000000 217 72 174 137 -43.000000 65.000000
11 0.120000000 174 137 143 140 -31.000000 3.000000
12 0.130000000 143 140 103 124 -40.000000 -16.000000
13 0.140000000 103 124 60 179 -43.000000 55.000000
14 0.150000000 60 179 32 108 -28.000000 -71.000000
15 0.160000000 32 108 161 112 129.000000 4.000000
16 0.170000000 161 112 75 86 -86.000000 -26.000000
17 0.180000000 75 86 96 118 21.000000 32.000000
18 0.190000000 96 118 94 118 -2.000000 0.000000
19 0.200000000 94 118 90 116 -4.000000 -2.000000
20 0.210000000 90 116 135 149 45.000000 33.000000
21 0.220000000 135 149 76 112 -59.000000 -37.000000
22 0.230000000 76 112 140 141 64.000000 29.000000
23 0.240000000 140 141 72 199 -68.000000 58.000000
24 0.250000000 72 199 79 201 7.000000 2.000000
25 0.260000000 79 201 52 177 -27.000000 -24.000000
26 0.270000000 52 177 123 158 71.000000 -19.000000
27 0.280000000 123 158 55 119 -68.000000 -39.000000
28 0.290000000 55 119 160 108 105.000000 -11.000000
29 0.300000000 160 108 96 195 -64.000000 87.000000
30 0.310000000 96 195 160 146 64.000000 -49.000000
31 0.320000000 160 146 26 101 -134.000000 -45.000000
32 0.330000000 26 101 161 154 135.000000 53.000000
33 0.340000000 161 154 53 174 -108.000000 20.000000
34 0.350000000 53 174 54 171 1.000000 -3.000000
35 0.360000000 54 171 81 193 27.000000 22.000000
36 0.370000000 81 193 28 84 -53.000000 -109.000000
37 0.380000000 28 84 92 117 64.000000 33.000000
38 0.390000000 92 117 113 122 21.000000 5.000000
39 0.400000000 113 122 24 94 -89.000000 -28.000000
40 0.410000000 24 94 160 147 136.000000 53.000000
41 0.420000000 160 147 95 175 -65.000000 28.000000
42 0.430000000 95 175 160 143 65.000000 -32.000000
43 0.440000000 160 143 80 119 -80.000000 -24.000000
44 0.450000000 80 119 80 175 0.000000 56.000000
45 0.460000000 80 175 96 146 16.000000 -29.000000
46 0.470000000 96 146 132 143 36.000000 -3.000000
47 0.480000000 132 143 105 137 -27.000000 -6.000000
48 0.490000000 105 137 148 97 43.000000 -40.000000
49 0.500000000 148 97 40 166 -108.000000 69.000000
50 0.510000000 40 166 74 169 34.000000 3.000000
