idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 70 173 70 173 0.000000 0.000000
1 0.020000000 70 173 88 108 18.000000 -65.000000
2 0.030000000 88 108 112 120 24.000000 12.000000
3 0.040000000 112 120 43 87 -69.000000 -33.000000
4 0.050000000 43 87 74 178 31.000000 91.000000
5 0.060000000 74 178 71 177 -3.000000 -1.000000
6 0.070000000 71 177 72 180 1.000000 3.000000
7 0.080000000 72 180 69 180 -3.000000 0.000000
8 0.090000000 69 180 151 137 82.000000 -43.000000
9 0.100000000 151 137 69 179 -82.000000 42.000000
10 0.110000000 69 179 66 181 -3.000000 2.000000
11 0.120000000 66 181 34 88 -32.000000 -93.000000
12 0.130000000 34 88 64 182 30.000000 94.000000
13 0.140000000 64 182 63 111 -1.000000 -71.000000
14 0.150000000 63 111 138 171 75.000000 60.000000
15 0.160000000 138 171 29 100 -109.000000 -71.000000
16 0.170000000 29 100 56 178 27.000000 78.000000
17 0.180000000 56 178 60 176 4.000000 -2.000000
18 0.190000000 60 176 58 169 -2.000000 -7.000000
19 0.200000000 58 169 93 118 35.000000 -51.000000
20 0.210000000 93 118 160 87 67.000000 -31.000000
21 0.220000000 160 87 75 111 -85.000000 24.000000
22 0.230000000 75 111 61 184 -14.000000 73.000000
23 0.240000000 61 184 135 174 74.000000 -10.000000
24 0.250000000 135 174 52 185 -83.000000 11.000000
25 0.260000000 52 185 51 175 -1.000000 -10.000000
26 0.270000000 51 175 94 197 43.000000 22.000000
27 0.280000000 94 197 55 185 -39.000000 -12.000000
28 0.290000000 55 185 55 182 0.000000 -3.000000
29 0.300000000 55 182 130 108 75.000000 -74.000000
30 0.310000000 130 108 133 173 3.000000 65.000000
31 0.320000000 133 173 52 172 -81.000000 -1.000000
32 0.330000000 52 172 26 98 -26.000000 -74.000000
33 0.340000000 26 98 75 113 49.000000 15.000000
34 0.350000000 75 113 53 175 -22.000000 62.000000
35 0.360000000 53 175 56 180 3.000000 5.000000
36 0.370000000 56 180 136 136 80.000000 -44.000000
37 0.380000000 136 136 161 153 25.000000 17.000000
38 0.390000000 161 153 100 177 -61.000000 24.000000
39 0.400000000 100 177 52 170 -48.000000 -7.000000
40 0.410000000 52 170 135 135 83.000000 -35.000000
41 0.420000000 135 135 52 170 -83.000000 35.000000
42 0.430000000 52 170 134 136 82.000000 -34.000000
43 0.440000000 134 136 49 140 -85.000000 4.000000
44 0.450000000 49 140 53 169 4.000000 29.000000
45 0.460000000 53 169 56 177 3.000000 8.000000
46 0.470000000 56 177 51 165 -5.000000 -12.000000
47 0.480000000 51 165 155 83 104.000000 -82.000000
48 0.490000000 155 83 127 160 -28.000000 77.000000
49 0.500000000 127 160 43 170 -84.000000 10.000000
50 0.510000000 43 170 73 169 30.000000 -1.000000
