idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 107 154 107 154 0.000000 0.000000
1 0.020000000 107 154 171 103 64.000000 -51.000000
2 0.030000000 171 103 166 85 -5.000000 -18.000000
3 0.040000000 166 85 79 83 -87.000000 -2.000000
4 0.050000000 79 83 73 176 -6.000000 93.000000
5 0.060000000 73 176 115 181 42.000000 5.000000
6 0.070000000 115 181 109 153 -6.000000 -28.000000
7 0.080000000 109 153 151 172 42.000000 19.000000
8 0.090000000 151 172 151 138 0.000000 -34.000000
9 0.100000000 151 138 69 181 -82.000000 43.000000
10 0.110000000 69 181 149 139 80.000000 -42.000000
11 0.120000000 149 139 197 40 48.000000 -99.000000
12 0.130000000 197 40 63 181 -134.000000 141.000000
13 0.140000000 63 181 33 103 -30.000000 -78.000000
14 0.150000000 33 103 139 157 106.000000 54.000000
15 0.160000000 139 157 30 97 -109.000000 -60.000000
16 0.170000000 30 97 55 175 25.000000 78.000000
17 0.180000000 55 175 166 142 111.000000 -33.000000
18 0.190000000 166 142 55 141 -111.000000 -1.000000
19 0.200000000 55 141 33 120 -22.000000 -21.000000
20 0.210000000 33 120 49 83 16.000000 -37.000000
21 0.220000000 49 83 24 103 -25.000000 20.000000
22 0.230000000 24 103 141 173 117.000000 70.000000
23 0.240000000 141 173 176 122 35.000000 -51.000000
24 0.250000000 176 122 52 175 -124.000000 53.000000
25 0.260000000 52 175 161 150 109.000000 -25.000000
26 0.270000000 161 150 244 215 83.000000 65.000000
27 0.280000000 244 215 94 199 -150.000000 -16.000000
28 0.290000000 94 199 55 177 -39.000000 -22.000000
29 0.300000000 55 177 108 146 53.000000 -31.000000
30 0.310000000 108 146 133 172 25.000000 26.000000
31 0.320000000 133 172 135 137 2.000000 -35.000000
32 0.330000000 135 137 26 99 -109.000000 -38.000000
33 0.340000000 26 99 89 161 63.000000 62.000000
34 0.350000000 89 161 90 166 1.000000 5.000000
35 0.360000000 90 166 93 123 3.000000 -43.000000
36 0.370000000 93 123 136 136 43.000000 13.000000
37 0.380000000 136 136 136 170 0.000000 34.000000
38 0.390000000 136 170 99 179 -37.000000 9.000000
39 0.400000000 99 179 132 134 33.000000 -45.000000
40 0.410000000 132 134 133 137 1.000000 3.000000
41 0.420000000 133 137 132 131 -1.000000 -6.000000
42 0.430000000 132 131 92 146 -40.000000 15.000000
43 0.440000000 92 146 47 138 -45.000000 -8.000000
44 0.450000000 47 138 116 140 69.000000 2.000000
45 0.460000000 116 140 56 178 -60.000000 38.000000
46 0.470000000 56 178 173 114 117.000000 -64.000000
47 0.480000000 173 114 102 117 -71.000000 3.000000
48 0.490000000 102 117 137 95 35.000000 -22.000000
49 0.500000000 137 95 41 168 -96.000000 73.000000
50 0.510000000 41 168 73 170 32.000000 2.000000
