idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 153 133 153 133 0.000000 0.000000
1 0.020000000 153 133 59 205 -94.000000 72.000000
2 0.030000000 59 205 118 89 59.000000 -116.000000
3 0.040000000 118 89 91 199 -27.000000 110.000000
4 0.050000000 91 199 153 103 62.000000 -96.000000
5 0.060000000 153 103 148 135 -5.000000 32.000000
6 0.070000000 148 135 71 179 -77.000000 44.000000
7 0.080000000 71 179 190 124 119.000000 -55.000000
8 0.090000000 190 124 135 139 -55.000000 15.000000
9 0.100000000 135 139 238 23 103.000000 -116.000000
10 0.110000000 238 23 171 147 -67.000000 124.000000
11 0.120000000 171 147 161 139 -10.000000 -8.000000
12 0.130000000 161 139 98 122 -63.000000 -17.000000
13 0.140000000 98 122 104 179 6.000000 57.000000
14 0.150000000 104 179 162 107 58.000000 -72.000000
15 0.160000000 162 107 164 114 2.000000 7.000000
16 0.170000000 164 114 67 85 -97.000000 -29.000000
17 0.180000000 67 85 95 117 28.000000 32.000000
18 0.190000000 95 117 61 104 -34.000000 -13.000000
19 0.200000000 61 104 161 109 100.000000 5.000000
20 0.210000000 161 109 90 154 -71.000000 45.000000
21 0.220000000 90 154 160 110 70.000000 -44.000000
22 0.230000000 160 110 143 137 -17.000000 27.000000
23 0.240000000 143 137 143 226 0.000000 89.000000
24 0.250000000 143 226 136 218 -7.000000 -8.000000
25 0.260000000 136 218 134 176 -2.000000 -42.000000
26 0.270000000 134 176 154 151 20.000000 -25.000000
27 0.280000000 154 151 55 112 -99.000000 -39.000000
28 0.290000000 55 112 30 102 -25.000000 -10.000000
29 0.300000000 30 102 88 218 58.000000 116.000000
30 0.310000000 88 218 148 142 60.000000 -76.000000
31 0.320000000 148 142 144 90 -4.000000 -52.000000
32 0.330000000 144 90 97 152 -47.000000 62.000000
33 0.340000000 97 152 207 174 110.000000 22.000000
34 0.350000000 207 174 86 164 -121.000000 -10.000000
35 0.360000000 86 164 85 196 -1.000000 32.000000
36 0.370000000 85 196 225 47 140.000000 -149.000000
37 0.380000000 225 47 170 119 -55.000000 72.000000
38 0.390000000 170 119 63 122 -107.000000 3.000000
39 0.400000000 63 122 228 61 165.000000 -61.000000
40 0.410000000 228 61 218 149 -10.000000 88.000000
41 0.420000000 218 149 86 177 -132.000000 28.000000
42 0.430000000 86 177 111 143 25.000000 -34.000000
43 0.440000000 111 143 139 106 28.000000 -37.000000
44 0.450000000 139 106 82 180 -57.000000 74.000000
45 0.460000000 82 180 47 138 -35.000000 -42.000000
46 0.470000000 47 138 117 136 70.000000 -2.000000
47 0.480000000 117 136 81 148 -36.000000 12.000000
48 0.490000000 81 148 35 84 -46.000000 -64.000000
49 0.500000000 35 84 83 167 48.000000 83.000000
50 0.510000000 83 167 74 170 -9.000000 3.000000
