idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 87 162 87 162 0.000000 0.000000
1 0.020000000 87 162 87 106 0.000000 -56.000000
2 0.030000000 87 106 169 86 82.000000 -20.000000
3 0.040000000 169 86 175 85 6.000000 -1.000000
4 0.050000000 175 85 72 177 -103.000000 92.000000
5 0.060000000 72 177 72 180 0.000000 3.000000
6 0.070000000 72 180 176 158 104.000000 -22.000000
7 0.080000000 176 158 149 173 -27.000000 15.000000
8 0.090000000 149 173 151 138 2.000000 -35.000000
9 0.100000000 151 138 69 180 -82.000000 42.000000
10 0.110000000 69 180 147 138 78.000000 -42.000000
11 0.120000000 147 138 54 84 -93.000000 -54.000000
12 0.130000000 54 84 64 181 10.000000 97.000000
13 0.140000000 64 181 63 109 -1.000000 -72.000000
14 0.150000000 63 109 138 159 75.000000 50.000000
15 0.160000000 138 159 94 97 -44.000000 -62.000000
16 0.170000000 94 97 55 176 -39.000000 79.000000
17 0.180000000 55 176 62 150 7.000000 -26.000000
18 0.190000000 62 150 56 142 -6.000000 -8.000000
19 0.200000000 56 142 94 119 38.000000 -23.000000
20 0.210000000 94 119 57 83 -37.000000 -36.000000
21 0.220000000 57 83 73 109 16.000000 26.000000
22 0.230000000 73 109 55 175 -18.000000 66.000000
23 0.240000000 55 175 30 121 -25.000000 -54.000000
24 0.250000000 30 121 133 176 103.000000 55.000000
25 0.260000000 133 176 71 169 -62.000000 -7.000000
26 0.270000000 71 169 83 203 12.000000 34.000000
27 0.280000000 83 203 79 198 -4.000000 -5.000000
28 0.290000000 79 198 54 179 -25.000000 -19.000000
29 0.300000000 54 179 111 145 57.000000 -34.000000
30 0.310000000 111 145 51 173 -60.000000 28.000000
31 0.320000000 51 173 135 138 84.000000 -35.000000
32 0.330000000 135 138 26 99 -109.000000 -39.000000
33 0.340000000 26 99 87 161 61.000000 62.000000
34 0.350000000 87 161 54 172 -33.000000 11.000000
35 0.360000000 54 172 136 136 82.000000 -36.000000
36 0.370000000 136 136 136 136 0.000000 0.000000
37 0.380000000 136 136 91 169 -45.000000 33.000000
38 0.390000000 91 169 57 179 -34.000000 10.000000
39 0.400000000 57 179 162 135 105.000000 -44.000000
40 0.410000000 162 135 159 136 -3.000000 1.000000
41 0.420000000 159 136 136 134 -23.000000 -2.000000
42 0.430000000 136 134 91 149 -45.000000 15.000000
43 0.440000000 91 149 49 139 -42.000000 -10.000000
44 0.450000000 49 139 146 151 97.000000 12.000000
45 0.460000000 146 151 54 178 -92.000000 27.000000
46 0.470000000 54 178 90 117 36.000000 -61.000000
47 0.480000000 90 117 68 113 -22.000000 -4.000000
48 0.490000000 68 113 46 100 -22.000000 -13.000000
49 0.500000000 46 100 41 169 -5.000000 69.000000
50 0.510000000 41 169 74 169 33.000000 0.000000
