idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 177 146 177 146 0.000000 0.000000
1 0.020000000 177 146 67 101 -110.000000 -45.000000
2 0.030000000 67 101 125 46 58.000000 -55.000000
3 0.040000000 125 46 51 20 -74.000000 -26.000000
4 0.050000000 51 20 114 175 63.000000 155.000000
5 0.060000000 114 175 65 193 -49.000000 18.000000
6 0.070000000 65 193 137 144 72.000000 -49.000000
7 0.080000000 137 144 24 170 -113.000000 26.000000
8 0.090000000 24 170 166 138 142.000000 -32.000000
9 0.100000000 166 138 181 201 15.000000 63.000000
10 0.110000000 181 201 91 163 -90.000000 -38.000000
11 0.120000000 91 163 17 3 -74.000000 -160.000000
12 0.130000000 17 3 63 182 46.000000 179.000000
13 0.140000000 63 182 62 32 -1.000000 -150.000000
14 0.150000000 62 32 158 159 96.000000 127.000000
15 0.160000000 158 159 84 94 -74.000000 -65.000000
16 0.170000000 84 94 20 176 -64.000000 82.000000
17 0.180000000 20 176 53 136 33.000000 -40.000000
18 0.190000000 53 136 93 118 40.000000 -18.000000
19 0.200000000 93 118 79 121 -14.000000 3.000000
20 0.210000000 79 121 85 36 6.000000 -85.000000
21 0.220000000 85 36 161 92 76.000000 56.000000
22 0.230000000 161 92 166 161 5.000000 69.000000
23 0.240000000 166 161 100 137 -66.000000 -24.000000
24 0.250000000 100 137 86 162 -14.000000 25.000000
25 0.260000000 86 162 96 126 10.000000 -36.000000
26 0.270000000 96 126 225 252 129.000000 126.000000
27 0.280000000 225 252 17 238 -208.000000 -14.000000
28 0.290000000 17 238 92 167 75.000000 -71.000000
29 0.300000000 92 167 164 147 72.000000 -20.000000
30 0.310000000 164 147 133 167 -31.000000 20.000000
31 0.320000000 133 167 28 124 -105.000000 -43.000000
32 0.330000000 28 124 26 96 -2.000000 -28.000000
33 0.340000000 26 96 88 165 62.000000 69.000000
34 0.350000000 88 165 148 152 60.000000 -13.000000
35 0.360000000 148 152 76 116 -72.000000 -36.000000
36 0.370000000 76 116 166 134 90.000000 18.000000
37 0.380000000 166 134 51 177 -115.000000 43.000000
38 0.390000000 51 177 6 193 -45.000000 16.000000
39 0.400000000 6 193 95 120 89.000000 -73.000000
40 0.410000000 95 120 43 138 -52.000000 18.000000
41 0.420000000 43 138 209 114 166.000000 -24.000000
42 0.430000000 209 114 134 143 -75.000000 29.000000
43 0.440000000 134 143 58 119 -76.000000 -24.000000
44 0.450000000 58 119 171 121 113.000000 2.000000
45 0.460000000 171 121 81 190 -90.000000 69.000000
46 0.470000000 81 190 53 100 -28.000000 -90.000000
47 0.480000000 53 100 138 131 85.000000 31.000000
48 0.490000000 138 131 115 63 -23.000000 -68.000000
49 0.500000000 115 63 40 169 -75.000000 106.000000
50 0.510000000 40 169 194 196 154.000000 27.000000
