idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 64 43 64 43 0.000000 0.000000
1 0.020000000 64 43 90 91 26.000000 48.000000
2 0.030000000 90 91 112 177 22.000000 86.000000
3 0.040000000 112 177 199 138 87.000000 -39.000000
4 0.050000000 199 138 219 47 20.000000 -91.000000
5 0.060000000 219 47 55 123 -164.000000 76.000000
6 0.070000000 55 123 76 125 21.000000 2.000000
7 0.080000000 76 125 55 84 -21.000000 -41.000000
8 0.090000000 55 84 86 169 31.000000 85.000000
9 0.100000000 86 169 26 49 -60.000000 -120.000000
10 0.110000000 26 49 71 107 45.000000 58.000000
11 0.120000000 71 107 48 137 -23.000000 30.000000
12 0.130000000 48 137 75 125 27.000000 -12.000000
13 0.140000000 75 125 64 155 -11.000000 30.000000
14 0.150000000 64 155 203 168 139.000000 13.000000
15 0.160000000 203 168 81 231 -122.000000 63.000000
16 0.170000000 81 231 31 96 -50.000000 -135.000000
17 0.180000000 31 96 200 153 169.000000 57.000000
18 0.190000000 200 153 106 172 -94.000000 19.000000
19 0.200000000 106 172 58 104 -48.000000 -68.000000
20 0.210000000 58 104 202 0 144.000000 -104.000000
21 0.220000000 202 0 122 242 -80.000000 242.000000
22 0.230000000 122 242 116 105 -6.000000 -137.000000
23 0.240000000 116 105 100 103 -16.000000 -2.000000
24 0.250000000 100 103 108 207 8.000000 104.000000
25 0.260000000 108 207 88 155 -20.000000 -52.000000
26 0.270000000 88 155 57 133 -31.000000 -22.000000
27 0.280000000 57 133 53 182 -4.000000 49.000000
28 0.290000000 53 182 182 14 129.000000 -168.000000
29 0.300000000 182 14 163 161 -19.000000 147.000000
30 0.310000000 163 161 194 118 31.000000 -43.000000
31 0.320000000 194 118 123 42 -71.000000 -76.000000
32 0.330000000 123 42 158 158 35.000000 116.000000
33 0.340000000 158 158 234 222 76.000000 64.000000
34 0.350000000 234 222 62 91 -172.000000 -131.000000
35 0.360000000 62 91 42 155 -20.000000 64.000000
36 0.370000000 42 155 241 102 199.000000 -53.000000
37 0.380000000 241 102 81 159 -160.000000 57.000000
38 0.390000000 81 159 65 167 -16.000000 8.000000
39 0.400000000 65 167 84 90 19.000000 -77.000000
40 0.410000000 84 90 182 186 98.000000 96.000000
41 0.420000000 182 186 60 159 -122.000000 -27.000000
42 0.430000000 60 159 87 159 27.000000 0.000000
43 0.440000000 87 159 247 189 160.000000 30.000000
44 0.450000000 247 189 29 121 -218.000000 -68.000000
45 0.460000000 29 121 52 176 23.000000 55.000000
46 0.470000000 52 176 24 203 -28.000000 27.000000
47 0.480000000 24 203 213 47 189.000000 -156.000000
48 0.490000000 213 47 162 194 -51.000000 147.000000
49 0.500000000 162 194 16 110 -146.000000 -84.000000
50 0.510000000 16 110 56 125 40.000000 15.000000
