idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 72 174 72 174 0.000000 0.000000
1 0.020000000 72 174 69 167 -3.000000 -7.000000
2 0.030000000 69 167 104 173 35.000000 6.000000
3 0.040000000 104 173 176 88 72.000000 -85.000000
4 0.050000000 176 88 72 177 -104.000000 89.000000
5 0.060000000 72 177 152 137 80.000000 -40.000000
6 0.070000000 152 137 71 181 -81.000000 44.000000
7 0.080000000 71 181 150 137 79.000000 -44.000000
8 0.090000000 150 137 69 178 -81.000000 41.000000
9 0.100000000 69 178 67 177 -2.000000 -1.000000
10 0.110000000 67 177 66 182 -1.000000 5.000000
11 0.120000000 66 182 143 170 77.000000 -12.000000
12 0.130000000 143 170 61 171 -82.000000 1.000000
13 0.140000000 61 171 61 178 0.000000 7.000000
14 0.150000000 61 178 103 182 42.000000 4.000000
15 0.160000000 103 182 44 103 -59.000000 -79.000000
16 0.170000000 44 103 58 178 14.000000 75.000000
17 0.180000000 58 178 61 178 3.000000 0.000000
18 0.190000000 61 178 56 142 -5.000000 -36.000000
19 0.200000000 56 142 57 167 1.000000 25.000000
20 0.210000000 57 167 137 136 80.000000 -31.000000
21 0.220000000 137 136 56 179 -81.000000 43.000000
22 0.230000000 56 179 61 183 5.000000 4.000000
23 0.240000000 61 183 73 93 12.000000 -90.000000
24 0.250000000 73 93 51 184 -22.000000 91.000000
25 0.260000000 51 184 135 175 84.000000 -9.000000
26 0.270000000 135 175 52 176 -83.000000 1.000000
27 0.280000000 52 176 56 185 4.000000 9.000000
28 0.290000000 56 185 55 176 -1.000000 -9.000000
29 0.300000000 55 176 29 88 -26.000000 -88.000000
30 0.310000000 29 88 51 172 22.000000 84.000000
31 0.320000000 51 172 52 173 1.000000 1.000000
32 0.330000000 52 173 56 182 4.000000 9.000000
33 0.340000000 56 182 76 113 20.000000 -69.000000
34 0.350000000 76 113 89 163 13.000000 50.000000
35 0.360000000 89 163 58 181 -31.000000 18.000000
36 0.370000000 58 181 137 136 79.000000 -45.000000
37 0.380000000 137 136 134 133 -3.000000 -3.000000
38 0.390000000 134 133 162 112 28.000000 -21.000000
39 0.400000000 162 112 54 107 -108.000000 -5.000000
40 0.410000000 54 107 135 136 81.000000 29.000000
41 0.420000000 135 136 52 174 -83.000000 38.000000
42 0.430000000 52 174 133 134 81.000000 -40.000000
43 0.440000000 133 134 51 140 -82.000000 6.000000
44 0.450000000 51 140 52 168 1.000000 28.000000
45 0.460000000 52 168 26 95 -26.000000 -73.000000
46 0.470000000 26 95 51 165 25.000000 70.000000
47 0.480000000 51 165 129 164 78.000000 -1.000000
48 0.490000000 129 164 126 164 -3.000000 0.000000
49 0.500000000 126 164 123 127 -3.000000 -37.000000
50 0.510000000 123 127 73 169 -50.000000 42.000000
