frame,time_s,frame_path,camera_x,camera_y,camera_z,pan_rad,tilt_rad,pan_deg,tilt_deg,drift_pan_deg,drift_tilt_deg,delta_drift_pan_deg,delta_drift_tilt_deg
11,0.011,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00011.png,0.0,-0.25,1.5,-0.007487158209733186,0.0024355252264873627,-0.42898256596443685,0.13954531637536982,-0.42898256596443685,0.13954531637536982,-0.06651946734866136,0.03163590630837177
12,0.012,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00012.png,0.0,-0.25,1.5,-0.005910305273391654,0.0025831993984836927,-0.338635547799256,0.14800642317384854,-0.338635547799256,0.14800642317384854,0.09034701816518087,0.00846110679847871
13,0.013000000000000001,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00013.png,0.0,-0.25,1.5,-0.007207956262124682,0.0011353565631433235,-0.4129854727346368,0.0650511393105908,-0.4129854727346368,0.0650511393105908,-0.07434992493538084,-0.08295528386325775
14,0.014,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00014.png,0.0,-0.25,1.5,-0.008006838535055147,0.0014812382542682258,-0.45875805530137076,0.08486870042289524,-0.45875805530137076,0.08486870042289524,-0.045772582566733916,0.019817561112304444
15,0.015,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00015.png,0.0,-0.25,1.5,-0.009768954684130682,0.0011526660296045281,-0.5597198736552443,0.06604289868444106,-0.5597198736552443,0.06604289868444106,-0.10096181835387359,-0.018825801738454172
16,0.016,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00016.png,0.0,-0.25,1.5,-0.010046854751583508,0.0020022242873922328,-0.5756423746466921,0.11471900130616375,-0.5756423746466921,0.11471900130616375,-0.01592250099144777,0.048676102621722686
17,0.017,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00017.png,0.0,-0.25,1.5,-0.009672203905865756,0.0025604424333952928,-0.554176462396058,0.14670254511975667,-0.554176462396058,0.14670254511975667,0.02146591225063409,0.03198354381359292
18,0.018000000000000002,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00018.png,0.0,-0.25,1.5,-0.01081335010367436,0.0023568458136881514,-0.619559323337892,0.13503731808740743,-0.619559323337892,0.13503731808740743,-0.06538286094183395,-0.01166522703234925
19,0.019,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00019.png,0.0,-0.25,1.5,-0.009445054782930317,0.004702721970922018,-0.5411617763317591,0.2694461211572759,-0.5411617763317591,0.2694461211572759,0.07839754700613295,0.13440880306986844
20,0.02,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00020.png,0.0,-0.25,1.5,-0.011642538686289445,0.007080787875329602,-0.6670683295421711,0.40569926088379155,-0.6670683295421711,0.40569926088379155,-0.12590655321041203,0.13625313972651562
21,0.021,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00021.png,0.0,-0.25,1.5,-0.009293542939621924,0.00830806895363281,-0.5324807871639406,0.47601728694683004,-0.5324807871639406,0.47601728694683004,0.13458754237823045,0.07031802606303847
22,0.022,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00022.png,0.0,-0.25,1.5,-0.008831980792153592,0.007814960149661874,-0.5060352241310104,0.44776423363855156,-0.5060352241310104,0.44776423363855156,0.02644556303293035,-0.0282530533082785
23,0.023,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00023.png,0.0,-0.25,1.5,-0.006287254643163771,0.010894126712710627,-0.3602331557773145,0.6241874821190484,-0.3602331557773145,0.6241874821190484,0.14580206835369586,0.1764232484804968
24,0.024,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00024.png,0.0,-0.25,1.5,-0.003142808603373426,0.012959886875709516,-0.180069668790702,0.7425468209451417,-0.180069668790702,0.7425468209451417,0.18016348698661253,0.11835933882609329
25,0.025,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00025.png,0.0,-0.25,1.5,-0.002519062118560604,0.011061864406522848,-0.1443316277248064,0.6337981440397463,-0.1443316277248064,0.6337981440397463,0.0357380410658956,-0.10874867690539543
26,0.026000000000000002,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00026.png,0.0,-0.25,1.5,-0.002526836047387362,0.012093052823173675,-0.14477704103681474,0.6928808881966166,-0.14477704103681474,0.6928808881966166,-0.0004454133120083229,0.05908274415687022
27,0.027,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00027.png,0.0,-0.25,1.5,-0.004775450997211691,0.012713709103943205,-0.27361318741177015,0.7284418736129973,-0.27361318741177015,0.7284418736129973,-0.12883614637495544,0.03556098541638074
28,0.028,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00028.png,0.0,-0.25,1.5,-0.00402519731626809,0.013807050458036393,-0.2306268179295472,0.7910857187696555,-0.2306268179295472,0.7910857187696555,0.04298636948222301,0.06264384515665815
29,0.029,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00029.png,0.0,-0.25,1.5,-0.006091873041461461,0.012767650488446742,-0.3490386146052661,0.7315324872861423,-0.3490386146052661,0.7315324872861423,-0.1184117966757189,-0.059553231483513144
30,0.03,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00030.png,0.0,-0.25,1.5,-0.0068535962449019,0.010930129948639464,-0.39268213931958823,0.6262503155865845,-0.39268213931958823,0.6262503155865845,-0.043643524714322125,-0.10528217169955775
