idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 71 164 71 164 0.000000 0.000000
1 0.020000000 71 164 70 176 -1.000000 12.000000
2 0.030000000 70 176 147 133 77.000000 -43.000000
3 0.040000000 147 133 72 177 -75.000000 44.000000
4 0.050000000 72 177 116 120 44.000000 -57.000000
5 0.060000000 116 120 153 169 37.000000 49.000000
6 0.070000000 153 169 72 181 -81.000000 12.000000
7 0.080000000 72 181 67 170 -5.000000 -11.000000
8 0.090000000 67 170 150 138 83.000000 -32.000000
9 0.100000000 150 138 40 98 -110.000000 -40.000000
10 0.110000000 40 98 144 137 104.000000 39.000000
11 0.120000000 144 137 144 170 0.000000 33.000000
12 0.130000000 144 170 115 146 -29.000000 -24.000000
13 0.140000000 115 146 61 178 -54.000000 32.000000
14 0.150000000 61 178 149 106 88.000000 -72.000000
15 0.160000000 149 106 76 112 -73.000000 6.000000
16 0.170000000 76 112 161 86 85.000000 -26.000000
17 0.180000000 161 86 58 167 -103.000000 81.000000
18 0.190000000 58 167 57 142 -1.000000 -25.000000
19 0.200000000 57 142 91 117 34.000000 -25.000000
20 0.210000000 91 117 139 136 48.000000 19.000000
21 0.220000000 139 136 76 112 -63.000000 -24.000000
22 0.230000000 76 112 56 175 -20.000000 63.000000
23 0.240000000 56 175 53 178 -3.000000 3.000000
24 0.250000000 53 178 55 186 2.000000 8.000000
25 0.260000000 55 186 52 178 -3.000000 -8.000000
26 0.270000000 52 178 53 176 1.000000 -2.000000
27 0.280000000 53 176 53 177 0.000000 1.000000
28 0.290000000 53 177 137 140 84.000000 -37.000000
29 0.300000000 137 140 55 180 -82.000000 40.000000
30 0.310000000 55 180 50 172 -5.000000 -8.000000
31 0.320000000 50 172 73 113 23.000000 -59.000000
32 0.330000000 73 113 160 158 87.000000 45.000000
33 0.340000000 160 158 89 160 -71.000000 2.000000
34 0.350000000 89 160 55 175 -34.000000 15.000000
35 0.360000000 55 175 58 181 3.000000 6.000000
36 0.370000000 58 181 28 96 -30.000000 -85.000000
37 0.380000000 28 96 134 131 106.000000 35.000000
38 0.390000000 134 131 162 112 28.000000 -19.000000
39 0.400000000 162 112 25 97 -137.000000 -15.000000
40 0.410000000 25 97 135 136 110.000000 39.000000
41 0.420000000 135 136 52 175 -83.000000 39.000000
42 0.430000000 52 175 159 154 107.000000 -21.000000
43 0.440000000 159 154 48 139 -111.000000 -15.000000
44 0.450000000 48 139 52 171 4.000000 32.000000
45 0.460000000 52 171 54 175 2.000000 4.000000
46 0.470000000 54 175 51 166 -3.000000 -9.000000
47 0.480000000 51 166 153 104 102.000000 -62.000000
48 0.490000000 153 104 127 160 -26.000000 56.000000
49 0.500000000 127 160 42 170 -85.000000 10.000000
50 0.510000000 42 170 73 169 31.000000 -1.000000
