idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 103 111 103 111 0.000000 0.000000
1 0.020000000 103 111 87 107 -16.000000 -4.000000
2 0.030000000 87 107 67 170 -20.000000 63.000000
3 0.040000000 67 170 176 88 109.000000 -82.000000
4 0.050000000 176 88 64 136 -112.000000 48.000000
5 0.060000000 64 136 71 174 7.000000 38.000000
6 0.070000000 71 174 55 99 -16.000000 -75.000000
7 0.080000000 55 99 42 88 -13.000000 -11.000000
8 0.090000000 42 88 173 112 131.000000 24.000000
9 0.100000000 173 112 67 173 -106.000000 61.000000
10 0.110000000 67 173 152 107 85.000000 -66.000000
11 0.120000000 152 107 159 92 7.000000 -15.000000
12 0.130000000 159 92 143 142 -16.000000 50.000000
13 0.140000000 143 142 59 176 -84.000000 34.000000
14 0.150000000 59 176 163 115 104.000000 -61.000000
15 0.160000000 163 115 151 137 -12.000000 22.000000
16 0.170000000 151 137 57 179 -94.000000 42.000000
17 0.180000000 57 179 57 169 0.000000 -10.000000
18 0.190000000 57 169 56 143 -1.000000 -26.000000
19 0.200000000 56 143 58 107 2.000000 -36.000000
20 0.210000000 58 107 140 104 82.000000 -3.000000
21 0.220000000 140 104 137 137 -3.000000 33.000000
22 0.230000000 137 137 62 184 -75.000000 47.000000
23 0.240000000 62 184 119 146 57.000000 -38.000000
24 0.250000000 119 146 85 129 -34.000000 -17.000000
25 0.260000000 85 129 95 190 10.000000 61.000000
26 0.270000000 95 190 56 158 -39.000000 -32.000000
27 0.280000000 56 158 95 180 39.000000 22.000000
28 0.290000000 95 180 149 105 54.000000 -75.000000
29 0.300000000 149 105 26 89 -123.000000 -16.000000
30 0.310000000 26 89 75 118 49.000000 29.000000
31 0.320000000 75 118 52 179 -23.000000 61.000000
32 0.330000000 52 179 89 162 37.000000 -17.000000
33 0.340000000 89 162 54 179 -35.000000 17.000000
34 0.350000000 54 179 54 174 0.000000 -5.000000
35 0.360000000 54 174 120 141 66.000000 -33.000000
36 0.370000000 120 141 141 136 21.000000 -5.000000
37 0.380000000 141 136 166 130 25.000000 -6.000000
38 0.390000000 166 130 55 177 -111.000000 47.000000
39 0.400000000 55 177 148 145 93.000000 -32.000000
40 0.410000000 148 145 53 178 -95.000000 33.000000
41 0.420000000 53 178 133 168 80.000000 -10.000000
42 0.430000000 133 168 52 172 -81.000000 4.000000
43 0.440000000 52 172 114 141 62.000000 -31.000000
44 0.450000000 114 141 53 169 -61.000000 28.000000
45 0.460000000 53 169 92 117 39.000000 -52.000000
46 0.470000000 92 117 159 152 67.000000 35.000000
47 0.480000000 159 152 147 84 -12.000000 -68.000000
48 0.490000000 147 84 103 98 -44.000000 14.000000
49 0.500000000 103 98 16 77 -87.000000 -21.000000
50 0.510000000 16 77 74 169 58.000000 92.000000
