idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 72 174 72 174 0.000000 0.000000
1 0.020000000 72 174 67 141 -5.000000 -33.000000
2 0.030000000 67 141 97 177 30.000000 36.000000
3 0.040000000 97 177 176 88 79.000000 -89.000000
4 0.050000000 176 88 72 176 -104.000000 88.000000
5 0.060000000 72 176 152 137 80.000000 -39.000000
6 0.070000000 152 137 71 181 -81.000000 44.000000
7 0.080000000 71 181 177 135 106.000000 -46.000000
8 0.090000000 177 135 69 178 -108.000000 43.000000
9 0.100000000 69 178 68 176 -1.000000 -2.000000
10 0.110000000 68 176 67 181 -1.000000 5.000000
11 0.120000000 67 181 142 163 75.000000 -18.000000
12 0.130000000 142 163 99 156 -43.000000 -7.000000
13 0.140000000 99 156 59 179 -40.000000 23.000000
14 0.150000000 59 179 102 185 43.000000 6.000000
15 0.160000000 102 185 110 102 8.000000 -83.000000
16 0.170000000 110 102 58 178 -52.000000 76.000000
17 0.180000000 58 178 61 178 3.000000 0.000000
18 0.190000000 61 178 55 142 -6.000000 -36.000000
19 0.200000000 55 142 92 162 37.000000 20.000000
20 0.210000000 92 162 138 136 46.000000 -26.000000
21 0.220000000 138 136 101 179 -37.000000 43.000000
22 0.230000000 101 179 60 183 -41.000000 4.000000
23 0.240000000 60 183 71 93 11.000000 -90.000000
24 0.250000000 71 93 50 180 -21.000000 87.000000
25 0.260000000 50 180 53 175 3.000000 -5.000000
26 0.270000000 53 175 52 176 -1.000000 1.000000
27 0.280000000 52 176 55 186 3.000000 10.000000
28 0.290000000 55 186 56 174 1.000000 -12.000000
29 0.300000000 56 174 27 89 -29.000000 -85.000000
30 0.310000000 27 89 134 171 107.000000 82.000000
31 0.320000000 134 171 51 173 -83.000000 2.000000
32 0.330000000 51 173 56 182 5.000000 9.000000
33 0.340000000 56 182 96 121 40.000000 -61.000000
34 0.350000000 96 121 161 156 65.000000 35.000000
35 0.360000000 161 156 57 182 -104.000000 26.000000
36 0.370000000 57 182 137 136 80.000000 -46.000000
37 0.380000000 137 136 134 133 -3.000000 -3.000000
38 0.390000000 134 133 177 118 43.000000 -15.000000
39 0.400000000 177 118 54 108 -123.000000 -10.000000
40 0.410000000 54 108 133 137 79.000000 29.000000
41 0.420000000 133 137 52 174 -81.000000 37.000000
42 0.430000000 52 174 93 121 41.000000 -53.000000
43 0.440000000 93 121 49 141 -44.000000 20.000000
44 0.450000000 49 141 68 166 19.000000 25.000000
45 0.460000000 68 166 26 95 -42.000000 -71.000000
46 0.470000000 26 95 51 163 25.000000 68.000000
47 0.480000000 51 163 130 164 79.000000 1.000000
48 0.490000000 130 164 127 164 -3.000000 0.000000
49 0.500000000 127 164 125 126 -2.000000 -38.000000
50 0.510000000 125 126 73 169 -52.000000 43.000000
