idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 46 94 46 94 0.000000 0.000000
1 0.020000000 46 94 70 102 24.000000 8.000000
2 0.030000000 70 102 153 169 83.000000 67.000000
3 0.040000000 153 169 179 136 26.000000 -33.000000
4 0.050000000 179 136 94 90 -85.000000 -46.000000
5 0.060000000 94 90 109 150 15.000000 60.000000
6 0.070000000 109 150 160 137 51.000000 -13.000000
7 0.080000000 160 137 145 108 -15.000000 -29.000000
8 0.090000000 145 108 175 157 30.000000 49.000000
9 0.100000000 175 157 71 106 -104.000000 -51.000000
10 0.110000000 71 106 52 100 -19.000000 -6.000000
11 0.120000000 52 100 131 142 79.000000 42.000000
12 0.130000000 131 142 118 146 -13.000000 4.000000
13 0.140000000 118 146 60 175 -58.000000 29.000000
14 0.150000000 60 175 93 165 33.000000 -10.000000
15 0.160000000 93 165 57 182 -36.000000 17.000000
16 0.170000000 57 182 32 96 -25.000000 -86.000000
17 0.180000000 32 96 59 171 27.000000 75.000000
18 0.190000000 59 171 63 180 4.000000 9.000000
19 0.200000000 63 180 94 117 31.000000 -63.000000
20 0.210000000 94 117 43 81 -51.000000 -36.000000
21 0.220000000 43 81 99 187 56.000000 106.000000
22 0.230000000 99 187 63 126 -36.000000 -61.000000
23 0.240000000 63 126 94 101 31.000000 -25.000000
24 0.250000000 94 101 53 186 -41.000000 85.000000
25 0.260000000 53 186 51 176 -2.000000 -10.000000
26 0.270000000 51 176 68 173 17.000000 -3.000000
27 0.280000000 68 173 54 184 -14.000000 11.000000
28 0.290000000 54 184 29 102 -25.000000 -82.000000
29 0.300000000 29 102 110 147 81.000000 45.000000
30 0.310000000 110 147 133 138 23.000000 -9.000000
31 0.320000000 133 138 36 103 -97.000000 -35.000000
32 0.330000000 36 103 88 162 52.000000 59.000000
33 0.340000000 88 162 54 182 -34.000000 20.000000
34 0.350000000 54 182 86 122 32.000000 -60.000000
35 0.360000000 86 122 54 179 -32.000000 57.000000
36 0.370000000 54 179 94 120 40.000000 -59.000000
37 0.380000000 94 120 122 138 28.000000 18.000000
38 0.390000000 122 138 91 159 -31.000000 21.000000
39 0.400000000 91 159 54 111 -37.000000 -48.000000
40 0.410000000 54 111 51 176 -3.000000 65.000000
41 0.420000000 51 176 53 171 2.000000 -5.000000
42 0.430000000 53 171 51 168 -2.000000 -3.000000
43 0.440000000 51 168 57 180 6.000000 12.000000
44 0.450000000 57 180 88 159 31.000000 -21.000000
45 0.460000000 88 159 55 176 -33.000000 17.000000
46 0.470000000 55 176 51 172 -4.000000 -4.000000
47 0.480000000 51 172 19 82 -32.000000 -90.000000
48 0.490000000 19 82 127 164 108.000000 82.000000
49 0.500000000 127 164 123 126 -4.000000 -38.000000
50 0.510000000 123 126 73 169 -50.000000 43.000000
