idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 152 131 152 131 0.000000 0.000000
1 0.020000000 152 131 69 174 -83.000000 43.000000
2 0.030000000 69 174 68 169 -1.000000 -5.000000
3 0.040000000 68 169 153 135 85.000000 -34.000000
4 0.050000000 153 135 72 176 -81.000000 41.000000
5 0.060000000 72 176 71 171 -1.000000 -5.000000
6 0.070000000 71 171 72 180 1.000000 9.000000
7 0.080000000 72 180 150 138 78.000000 -42.000000
8 0.090000000 150 138 152 137 2.000000 -1.000000
9 0.100000000 152 137 67 177 -85.000000 40.000000
10 0.110000000 67 177 147 108 80.000000 -69.000000
11 0.120000000 147 108 144 171 -3.000000 63.000000
12 0.130000000 144 171 61 174 -83.000000 3.000000
13 0.140000000 61 174 60 177 -1.000000 3.000000
14 0.150000000 60 177 138 171 78.000000 -6.000000
15 0.160000000 138 171 57 182 -81.000000 11.000000
16 0.170000000 57 182 163 111 106.000000 -71.000000
17 0.180000000 163 111 60 177 -103.000000 66.000000
18 0.190000000 60 177 89 194 29.000000 17.000000
19 0.200000000 89 194 91 118 2.000000 -76.000000
20 0.210000000 91 118 160 86 69.000000 -32.000000
21 0.220000000 160 86 55 179 -105.000000 93.000000
22 0.230000000 55 179 61 183 6.000000 4.000000
23 0.240000000 61 183 135 174 74.000000 -9.000000
24 0.250000000 135 174 53 186 -82.000000 12.000000
25 0.260000000 53 186 52 175 -1.000000 -11.000000
26 0.270000000 52 175 52 176 0.000000 1.000000
27 0.280000000 52 176 54 184 2.000000 8.000000
28 0.290000000 54 184 55 175 1.000000 -9.000000
29 0.300000000 55 175 27 89 -28.000000 -86.000000
30 0.310000000 27 89 52 172 25.000000 83.000000
31 0.320000000 52 172 51 172 -1.000000 0.000000
32 0.330000000 51 172 26 99 -25.000000 -73.000000
33 0.340000000 26 99 89 159 63.000000 60.000000
34 0.350000000 89 159 54 173 -35.000000 14.000000
35 0.360000000 54 173 57 180 3.000000 7.000000
36 0.370000000 57 180 137 135 80.000000 -45.000000
37 0.380000000 137 135 135 133 -2.000000 -2.000000
38 0.390000000 135 133 76 111 -59.000000 -22.000000
39 0.400000000 76 111 52 170 -24.000000 59.000000
40 0.410000000 52 170 134 136 82.000000 -34.000000
41 0.420000000 134 136 52 173 -82.000000 37.000000
42 0.430000000 52 173 134 135 82.000000 -38.000000
43 0.440000000 134 135 57 179 -77.000000 44.000000
44 0.450000000 57 179 53 169 -4.000000 -10.000000
45 0.460000000 53 169 55 177 2.000000 8.000000
46 0.470000000 55 177 51 167 -4.000000 -10.000000
47 0.480000000 51 167 19 82 -32.000000 -85.000000
48 0.490000000 19 82 126 163 107.000000 81.000000
49 0.500000000 126 163 124 127 -2.000000 -36.000000
50 0.510000000 124 127 73 169 -51.000000 42.000000
