idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 66 137 66 137 0.000000 0.000000
1 0.020000000 66 137 70 177 4.000000 40.000000
2 0.030000000 70 177 56 101 -14.000000 -76.000000
3 0.040000000 56 101 78 180 22.000000 79.000000
4 0.050000000 78 180 153 104 75.000000 -76.000000
5 0.060000000 153 104 153 137 0.000000 33.000000
6 0.070000000 153 137 74 179 -79.000000 42.000000
7 0.080000000 74 179 150 137 76.000000 -42.000000
8 0.090000000 150 137 154 138 4.000000 1.000000
9 0.100000000 154 138 88 91 -66.000000 -47.000000
10 0.110000000 88 91 146 137 58.000000 46.000000
11 0.120000000 146 137 157 140 11.000000 3.000000
12 0.130000000 157 140 37 126 -120.000000 -14.000000
13 0.140000000 37 126 60 179 23.000000 53.000000
14 0.150000000 60 179 150 107 90.000000 -72.000000
15 0.160000000 150 107 75 112 -75.000000 5.000000
16 0.170000000 75 112 77 86 2.000000 -26.000000
17 0.180000000 77 86 101 118 24.000000 32.000000
18 0.190000000 101 118 95 119 -6.000000 1.000000
19 0.200000000 95 119 62 117 -33.000000 -2.000000
20 0.210000000 62 117 164 146 102.000000 29.000000
21 0.220000000 164 146 79 112 -85.000000 -34.000000
22 0.230000000 79 112 55 145 -24.000000 33.000000
23 0.240000000 55 145 69 192 14.000000 47.000000
24 0.250000000 69 192 81 200 12.000000 8.000000
25 0.260000000 81 200 50 178 -31.000000 -22.000000
26 0.270000000 50 178 87 163 37.000000 -15.000000
27 0.280000000 87 163 87 122 0.000000 -41.000000
28 0.290000000 87 122 160 111 73.000000 -11.000000
29 0.300000000 160 111 98 192 -62.000000 81.000000
30 0.310000000 98 192 147 150 49.000000 -42.000000
31 0.320000000 147 150 145 102 -2.000000 -48.000000
32 0.330000000 145 102 91 156 -54.000000 54.000000
33 0.340000000 91 156 53 174 -38.000000 18.000000
34 0.350000000 53 174 55 172 2.000000 -2.000000
35 0.360000000 55 172 97 191 42.000000 19.000000
36 0.370000000 97 191 26 86 -71.000000 -105.000000
37 0.380000000 26 86 175 116 149.000000 30.000000
38 0.390000000 175 116 108 122 -67.000000 6.000000
39 0.400000000 108 122 26 96 -82.000000 -26.000000
40 0.410000000 26 96 159 146 133.000000 50.000000
41 0.420000000 159 146 53 175 -106.000000 29.000000
42 0.430000000 53 175 133 144 80.000000 -31.000000
43 0.440000000 133 144 99 119 -34.000000 -25.000000
44 0.450000000 99 119 39 174 -60.000000 55.000000
45 0.460000000 39 174 57 152 18.000000 -22.000000
46 0.470000000 57 152 55 148 -2.000000 -4.000000
47 0.480000000 55 148 118 133 63.000000 -15.000000
48 0.490000000 118 133 46 100 -72.000000 -33.000000
49 0.500000000 46 100 41 166 -5.000000 66.000000
50 0.510000000 41 166 74 169 33.000000 3.000000
