idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 173 132 173 132 0.000000 0.000000
1 0.020000000 173 132 246 222 73.000000 90.000000
2 0.030000000 246 222 80 84 -166.000000 -138.000000
3 0.040000000 80 84 32 217 -48.000000 133.000000
4 0.050000000 32 217 135 102 103.000000 -115.000000
5 0.060000000 135 102 79 127 -56.000000 25.000000
6 0.070000000 79 127 73 180 -6.000000 53.000000
7 0.080000000 73 180 71 123 -2.000000 -57.000000
8 0.090000000 71 123 138 139 67.000000 16.000000
9 0.100000000 138 139 254 15 116.000000 -124.000000
10 0.110000000 254 15 106 157 -148.000000 142.000000
11 0.120000000 106 157 144 139 38.000000 -18.000000
12 0.130000000 144 139 53 118 -91.000000 -21.000000
13 0.140000000 53 118 113 180 60.000000 62.000000
14 0.150000000 113 180 167 106 54.000000 -74.000000
15 0.160000000 167 106 168 116 1.000000 10.000000
16 0.170000000 168 116 56 83 -112.000000 -33.000000
17 0.180000000 56 83 95 116 39.000000 33.000000
18 0.190000000 95 116 241 92 146.000000 -24.000000
19 0.200000000 241 92 60 105 -181.000000 13.000000
20 0.210000000 60 105 91 158 31.000000 53.000000
21 0.220000000 91 158 125 106 34.000000 -52.000000
22 0.230000000 125 106 141 135 16.000000 29.000000
23 0.240000000 141 135 226 238 85.000000 103.000000
24 0.250000000 226 238 153 231 -73.000000 -7.000000
25 0.260000000 153 231 132 176 -21.000000 -55.000000
26 0.270000000 132 176 200 147 68.000000 -29.000000
27 0.280000000 200 147 117 108 -83.000000 -39.000000
28 0.290000000 117 108 153 93 36.000000 -15.000000
29 0.300000000 153 93 226 232 73.000000 139.000000
30 0.310000000 226 232 151 140 -75.000000 -92.000000
31 0.320000000 151 140 89 75 -62.000000 -65.000000
32 0.330000000 89 75 93 152 4.000000 77.000000
33 0.340000000 93 152 84 176 -9.000000 24.000000
34 0.350000000 84 176 88 160 4.000000 -16.000000
35 0.360000000 88 160 16 206 -72.000000 46.000000
36 0.370000000 16 206 115 29 99.000000 -177.000000
37 0.380000000 115 29 31 122 -84.000000 93.000000
38 0.390000000 31 122 175 121 144.000000 -1.000000
39 0.400000000 175 121 251 39 76.000000 -82.000000
40 0.410000000 251 39 145 151 -106.000000 112.000000
41 0.420000000 145 151 232 183 87.000000 32.000000
42 0.430000000 232 183 224 143 -8.000000 -40.000000
43 0.440000000 224 143 116 102 -108.000000 -41.000000
44 0.450000000 116 102 97 186 -19.000000 84.000000
45 0.460000000 97 186 159 135 62.000000 -51.000000
46 0.470000000 159 135 144 134 -15.000000 -1.000000
47 0.480000000 144 134 87 157 -57.000000 23.000000
48 0.490000000 87 157 21 76 -66.000000 -81.000000
49 0.500000000 21 76 41 170 20.000000 94.000000
50 0.510000000 41 170 34 172 -7.000000 2.000000
